ID,HAUL_ID,VESSEL,CRUISE,HAUL,UNITS,SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,LENGTH_DEVICE,RECORDING_DEVICE,CREATE_DATE
10138,55,94,201901,59,"CM",10261,2,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:00"
10139,55,94,201901,59,"CM",10261,2,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:01"
10140,55,94,201901,59,"CM",10261,2,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:02"
10141,55,94,201901,59,"CM",10261,2,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:05"
10142,55,94,201901,59,"CM",10261,2,40,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:06"
10143,55,94,201901,59,"CM",10261,2,41,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:08"
10144,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:10"
10145,55,94,201901,59,"CM",10261,2,34,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:12"
10146,55,94,201901,59,"CM",10261,2,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:14"
10147,55,94,201901,59,"CM",10261,2,40,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:16"
10148,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:18"
10149,55,94,201901,59,"CM",10261,2,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:19"
10150,55,94,201901,59,"CM",10261,2,12,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:21"
10151,55,94,201901,59,"CM",10261,2,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:23"
10152,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:25"
10153,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:27"
10154,55,94,201901,59,"CM",10261,2,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:28"
10155,55,94,201901,59,"CM",10261,2,37,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:30"
10156,55,94,201901,59,"CM",10261,2,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:32"
10157,55,94,201901,59,"CM",10261,2,36,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:33"
10158,55,94,201901,59,"CM",10261,2,36,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:37"
10159,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:39"
10160,55,94,201901,59,"CM",10261,2,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:40"
10161,55,94,201901,59,"CM",10261,2,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:43"
10162,55,94,201901,59,"CM",10261,2,36,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:46"
10163,55,94,201901,59,"CM",10261,2,34,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:47"
10164,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:52"
10165,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:54"
10166,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:56"
10167,55,94,201901,59,"CM",10261,2,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:58:58"
10168,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:00"
10169,55,94,201901,59,"CM",10261,2,37,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:02"
10170,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:03"
10171,55,94,201901,59,"CM",10261,2,37,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:05"
10172,55,94,201901,59,"CM",10261,2,40,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:07"
10173,55,94,201901,59,"CM",10261,2,41,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:10"
10174,55,94,201901,59,"CM",10261,2,36,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:12"
10175,55,94,201901,59,"CM",10261,2,37,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:14"
10176,55,94,201901,59,"CM",10261,2,40,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:16"
10177,55,94,201901,59,"CM",10261,2,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:18"
10178,55,94,201901,59,"CM",10261,2,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:20"
10179,55,94,201901,59,"CM",10261,2,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:23"
10180,55,94,201901,59,"CM",10261,2,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:26"
10181,55,94,201901,59,"CM",10261,2,21,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:28"
10182,55,94,201901,59,"CM",10261,2,25,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:29"
10183,55,94,201901,59,"CM",10261,2,20,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:32"
10184,55,94,201901,59,"CM",10261,2,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:36"
10185,55,94,201901,59,"CM",10261,2,12,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:40"
10186,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:42"
10187,55,94,201901,59,"CM",10261,2,13,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:43"
